City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,-17.9,84,94,2.05,RU,1683495219
1,nasir,15.5894,32.5634,33.81,10,4,7.22,SD,1683495597
2,chui,-33.6971,-53.4616,16.3,93,100,2.66,UY,1683495597
3,'ain benian,36.8028,2.9219,18.03,88,21,0.89,DZ,1683495597
4,grytviken,-54.2811,-36.5092,1.76,90,89,9.71,GS,1683495597
5,port-aux-francais,-49.35,70.2167,4.04,65,95,12.3,TF,1683495597
6,iqaluit,63.7506,-68.5145,-3.15,73,20,8.23,CA,1683495352
7,edinburgh of the seven seas,-37.0676,-12.3116,14.62,65,41,2.69,SH,1683495598
8,adamstown,-25.066,-130.1015,21.61,59,100,10.31,PN,1683495598
9,ribeira grande,38.5167,-28.7,18.21,96,100,8.49,PT,1683495172
10,san patricio,28.017,-97.5169,30.09,62,97,7.55,US,1683495156
11,yellowknife,62.456,-114.3525,18.29,29,0,8.23,CA,1683495230
12,bethel,41.3712,-73.414,24.47,35,0,3.09,US,1683495250
13,waitangi,-43.9535,-176.5597,14.9,95,100,2.24,NZ,1683495599
14,longyearbyen,78.2186,15.6401,-1.09,86,75,2.57,SJ,1683495227
15,seosan,36.7817,126.4522,6.78,61,70,1.64,KR,1683495599
16,tiksi,71.6872,128.8694,-17.26,92,34,4.1,RU,1683495215
17,isafjordur,66.0755,-23.124,6.4,93,96,2.16,IS,1683495600
18,qaqortoq,60.7167,-46.0333,2.79,75,100,1.39,GL,1683495600
19,tammela,60.8104,23.7682,3.99,67,100,2.28,FI,1683495600
20,ushuaia,-54.8,-68.3,9.81,66,75,2.06,AR,1683495186
21,boden,65.8252,21.6886,1.0,97,95,0.93,SE,1683495601
22,margaret river,-33.95,115.0667,17.26,53,91,7.89,AU,1683495601
23,novska,45.3406,16.9769,15.18,98,100,3.05,HR,1683495601
24,bocas del toro,9.3333,-82.25,27.8,69,99,3.53,PA,1683495602
25,richfield,44.8833,-93.283,25.16,54,75,4.12,US,1683495572
26,port mathurin,-19.6833,63.4167,26.03,71,1,9.35,MU,1683495602
27,stanley,54.868,-1.6985,12.66,93,90,0.51,GB,1683495602
28,covington,39.0837,-84.5086,23.73,75,0,2.57,US,1683495602
29,warrnambool,-38.3833,142.4833,6.3,72,80,5.99,AU,1683495603
30,college,64.8569,-147.8028,10.99,44,75,1.54,US,1683495261
31,oquirrh,40.6305,-112.0338,16.4,41,100,4.92,US,1683495603
32,illizi,26.4833,8.4667,29.89,9,99,6.06,DZ,1683495603
33,west island,-12.1568,96.8225,25.99,94,40,0.51,CC,1683495604
34,utrik,11.2278,169.8474,27.08,82,88,8.46,MH,1683495604
35,anadyr,64.75,177.4833,-0.72,86,40,6.0,RU,1683495217
36,sao joao da barra,-21.6403,-41.0511,23.05,81,61,3.16,BR,1683495259
37,hasaki,35.7333,140.8333,14.22,95,100,5.27,JP,1683495230
38,anqing,30.5092,117.0506,14.53,67,87,4.32,CN,1683495604
39,bengkulu,-3.8004,102.2655,24.21,84,99,1.62,ID,1683495081
40,blackmans bay,-43.0167,147.3167,5.85,84,95,2.84,AU,1683495605
41,constantia,44.1833,28.65,10.39,78,43,2.19,RO,1683495602
42,thompson,55.7435,-97.8558,19.09,30,20,2.57,CA,1683495262
43,kailua-kona,19.6406,-155.9956,26.98,76,40,4.12,US,1683495605
44,badger,64.8,-147.5333,10.95,41,75,1.54,US,1683495606
45,haiku-pauwela,20.9219,-156.3051,27.01,60,20,9.26,US,1683495606
46,hamilton,39.1834,-84.5333,23.66,77,0,2.57,US,1683495205
47,rikaze,29.25,88.8833,4.63,48,0,1.53,CN,1683495606
48,sao vicente,-23.9631,-46.3919,27.1,54,40,2.06,BR,1683495531
49,puerto natales,-51.7236,-72.4875,6.6,86,65,1.84,CL,1683495606
50,cooper's town,26.8667,-77.5167,22.52,62,0,9.14,BS,1683495607
51,noyabrsk,63.1994,75.4507,9.89,70,97,9.81,RU,1683495607
52,invercargill,-46.4,168.35,12.1,78,99,1.77,NZ,1683495579
53,bilibino,68.0546,166.4372,-5.91,84,99,0.92,RU,1683495244
54,moose jaw,50.4001,-105.5344,16.15,41,100,5.66,CA,1683495607
55,atafu village,-8.5421,-172.5159,28.99,77,12,5.51,TK,1683495607
56,albany,42.6001,-73.9662,23.25,34,88,1.97,US,1683495025
57,enewetak,11.3474,162.3373,27.51,78,89,7.6,MH,1683495608
